iter	Logloss
0	0.6831231981
1	0.6739400028
2	0.6658978225
3	0.6577277775
4	0.6515767485
5	0.6430761977
6	0.6347105753
7	0.6274315551
8	0.6223489722
9	0.617316277
10	0.6118034682
11	0.6075184259
12	0.6012094009
13	0.5969308153
14	0.5906481689
15	0.5865007041
16	0.5821541851
17	0.5766207369
18	0.5722933122
19	0.5695228906
20	0.5640194633
21	0.5602293796
22	0.5566045764
23	0.5532262867
24	0.548216935
25	0.5459400372
26	0.5422047527
27	0.5397581596
28	0.5369685335
29	0.5346190668
30	0.5320206032
31	0.5293765564
32	0.525951028
33	0.5236471997
34	0.5196998373
35	0.516642065
36	0.5137508976
37	0.5112251685
38	0.5088425905
39	0.506031718
40	0.5039159066
41	0.5020790578
42	0.4995676218
43	0.496866458
44	0.4947209568
45	0.4933568821
46	0.4905598059
47	0.4892616779
48	0.4874156131
49	0.4851883823
50	0.4829959734
51	0.4808857358
52	0.479263393
53	0.4773067918
54	0.4755716498
55	0.4735042361
56	0.4713254581
57	0.4694439091
58	0.4677108643
59	0.465971142
60	0.4637647712
61	0.4628058683
62	0.461950852
63	0.4605323644
64	0.4585995757
65	0.457249656
66	0.4561136629
67	0.4551361349
68	0.4537926443
69	0.4523371272
70	0.450476935
71	0.4481165416
72	0.446708484
73	0.4447649065
74	0.4435171904
75	0.4421144858
76	0.4410014222
77	0.4394026988
78	0.4385060727
79	0.4378047204
80	0.4369925833
81	0.4354611862
82	0.4344939778
83	0.433036143
84	0.4319343372
85	0.430741641
86	0.4290710661
87	0.4275079649
88	0.4261495743
89	0.4252092689
90	0.4238288868
91	0.4222145459
92	0.4210746346
93	0.4195086086
94	0.4185443527
95	0.4171701514
96	0.4157436343
97	0.414342061
98	0.4130023507
99	0.4118508504
100	0.4109180502
101	0.4094186331
102	0.4075147616
103	0.4069709086
104	0.4060361218
105	0.4051885004
106	0.404389525
107	0.4031609858
108	0.4024936553
109	0.4013399752
110	0.4001092286
111	0.3992998508
112	0.3978363594
113	0.3967715003
114	0.3964263979
115	0.3952143868
116	0.3941234802
117	0.3919495585
118	0.3913210786
119	0.3904116219
120	0.3893516192
121	0.3879489422
122	0.3868537311
123	0.3855845478
124	0.3851650278
125	0.3839356608
126	0.3825607973
127	0.3816970065
128	0.3806053273
129	0.37971353
130	0.3787026423
131	0.3774875132
132	0.3765990269
133	0.3758516499
134	0.3744620795
135	0.373437699
136	0.3728089432
137	0.3718630641
138	0.3709285531
139	0.3699870888
140	0.36959621
141	0.3683830124
142	0.3675708477
143	0.3666272311
144	0.3653901658
145	0.3646828535
146	0.3637363121
147	0.3627645233
148	0.3613300871
149	0.3610000779
150	0.3603246628
151	0.3591108857
152	0.3579984844
153	0.3576954609
154	0.3572104909
155	0.3565176648
156	0.3554800949
157	0.3547209634
158	0.3535245146
159	0.3529454809
160	0.3519668492
161	0.3512782448
162	0.3500270243
163	0.3490557599
164	0.348170364
165	0.3475161677
166	0.3466519906
167	0.345855471
168	0.3451484622
169	0.3443727751
170	0.3431465261
171	0.3422481064
172	0.3413704365
173	0.3404394023
174	0.3396567893
175	0.3392424016
176	0.3381275721
177	0.3375200075
178	0.3368567332
179	0.3364621846
180	0.3351259785
181	0.3343515055
182	0.3330152994
183	0.3323051174
184	0.3316484102
185	0.3306428204
186	0.3300915174
187	0.3294154401
188	0.3287555045
189	0.3284166932
190	0.3276138548
191	0.3267967786
192	0.3262133577
193	0.3255158684
194	0.3249812314
195	0.324179883
196	0.3235239484
197	0.3228865009
198	0.322290277
199	0.3217910691
200	0.3210553914
201	0.3206177154
202	0.3193482837
203	0.3183136111
204	0.3178934289
205	0.3174794274
206	0.3164752172
207	0.3158478686
208	0.3153162669
209	0.3146334569
210	0.3139147212
211	0.3135040309
212	0.3119868716
213	0.3116858348
214	0.3110168212
215	0.3105843326
216	0.3101280314
217	0.3093634366
218	0.3086899805
219	0.3078421108
220	0.307052986
221	0.3064136346
222	0.3058803773
223	0.30525267
224	0.304314103
225	0.3034729658
226	0.3029702813
227	0.3023994427
228	0.3019444384
229	0.3006856575
230	0.3000607647
231	0.2996088508
232	0.2990550921
233	0.298847098
234	0.2982808398
235	0.297803237
236	0.2972899845
237	0.2962416811
238	0.2957124523
239	0.2952716583
240	0.2945849577
241	0.2938691744
242	0.2934453223
243	0.2930008585
244	0.2923779247
245	0.2912206024
246	0.2903989182
247	0.2898413241
248	0.2893120953
249	0.2887284812
250	0.2883087129
251	0.2877630388
252	0.2873939032
253	0.2866683796
254	0.2861522022
255	0.2856215386
256	0.2852088616
