iter	Passed	Remaining
0	3	3042
1	7	3016
2	10	2804
3	13	2702
4	16	2608
5	19	2521
6	21	2457
7	24	2471
8	28	2461
9	30	2421
10	33	2375
11	35	2362
12	38	2338
13	41	2341
14	44	2310
15	46	2291
16	49	2277
17	51	2252
18	54	2235
19	56	2222
20	59	2202
21	61	2182
22	64	2163
23	66	2144
24	68	2123
25	70	2111
26	73	2103
27	75	2092
28	78	2080
29	80	2074
30	83	2064
31	85	2058
32	88	2050
33	90	2043
34	93	2041
35	96	2041
36	98	2035
37	101	2026
38	103	2021
39	106	2016
40	108	2012
41	110	2002
42	113	1998
43	115	1991
44	118	1984
45	120	1982
46	123	1979
47	125	1971
48	128	1966
49	130	1963
50	133	1956
51	135	1954
52	138	1947
53	140	1940
54	142	1933
55	145	1931
56	147	1928
57	150	1924
58	153	1922
59	155	1920
60	158	1915
61	160	1912
62	163	1909
63	165	1905
64	168	1901
65	170	1898
66	173	1895
67	175	1891
68	178	1886
69	180	1882
70	183	1879
71	185	1878
72	188	1872
73	190	1868
74	192	1862
75	195	1858
76	197	1854
77	199	1850
78	202	1846
79	204	1842
80	207	1837
81	209	1834
82	211	1830
83	214	1826
84	216	1821
85	218	1817
86	221	1813
87	223	1808
88	225	1802
89	227	1798
90	230	1792
91	232	1788
92	234	1785
93	237	1781
94	239	1778
95	241	1773
96	244	1769
97	246	1765
98	249	1763
99	251	1760
100	253	1755
101	255	1751
102	258	1746
103	260	1742
104	262	1738
105	265	1735
106	267	1732
107	269	1728
108	272	1725
109	274	1720
110	276	1716
111	278	1713
112	281	1709
113	283	1705
114	285	1701
115	288	1698
116	290	1693
117	292	1689
118	294	1686
119	297	1683
120	299	1681
121	301	1678
122	304	1674
123	306	1671
124	308	1667
125	310	1663
126	313	1660
127	315	1658
128	318	1657
129	321	1655
130	323	1652
131	325	1649
132	328	1646
133	330	1642
134	332	1640
135	335	1637
136	337	1634
137	340	1631
138	342	1627
139	344	1623
140	346	1619
141	349	1617
142	351	1614
143	353	1610
144	356	1608
145	358	1605
146	360	1601
147	362	1598
148	365	1594
149	367	1591
150	369	1588
151	371	1584
152	373	1581
153	376	1578
154	378	1575
155	380	1572
156	383	1569
157	385	1566
158	387	1563
159	390	1560
160	392	1557
161	394	1554
162	397	1552
163	399	1548
164	401	1545
165	403	1542
166	406	1540
167	408	1537
168	411	1534
169	413	1532
170	415	1529
171	418	1526
172	420	1523
173	422	1520
174	425	1518
175	427	1515
176	429	1512
177	432	1509
178	434	1506
179	436	1504
180	439	1501
181	441	1499
182	443	1496
183	446	1494
184	448	1491
185	450	1488
186	453	1485
187	455	1482
188	457	1480
189	460	1478
190	462	1475
191	464	1472
192	467	1469
193	469	1466
194	471	1464
195	474	1461
196	476	1459
197	478	1456
198	481	1453
199	483	1450
200	485	1448
201	488	1445
202	490	1442
203	493	1440
204	495	1438
205	497	1435
206	500	1433
207	502	1431
208	505	1429
209	507	1426
210	509	1423
211	512	1420
212	514	1418
213	516	1415
214	519	1412
215	521	1410
216	524	1408
217	526	1406
218	528	1403
219	531	1400
220	533	1398
221	536	1395
222	538	1393
223	540	1390
224	543	1388
225	545	1385
226	547	1382
227	550	1380
228	552	1377
229	554	1375
230	557	1372
231	559	1369
232	561	1366
233	563	1363
234	565	1359
235	567	1357
236	570	1355
237	573	1353
238	575	1350
239	577	1347
240	579	1344
241	582	1342
242	584	1339
243	586	1336
244	589	1334
245	591	1332
246	593	1329
247	596	1327
248	598	1324
249	600	1321
250	603	1319
251	605	1317
252	608	1314
253	610	1312
254	612	1309
255	614	1306
256	617	1304
257	619	1302
258	622	1299
259	624	1296
260	626	1293
261	628	1291
262	631	1288
263	633	1286
264	635	1283
265	638	1280
266	640	1277
267	642	1274
268	644	1271
269	646	1269
270	648	1266
271	651	1265
272	654	1262
273	656	1260
274	658	1257
275	660	1254
276	663	1252
277	665	1249
278	667	1247
279	670	1244
280	672	1242
281	675	1240
282	677	1237
283	679	1234
284	681	1231
285	684	1229
286	686	1226
287	688	1224
288	690	1221
289	693	1219
290	695	1216
291	697	1213
292	700	1211
293	702	1209
294	705	1207
295	707	1204
296	709	1201
297	711	1199
298	714	1196
299	716	1194
300	719	1192
301	721	1189
302	723	1186
303	725	1184
304	728	1181
305	730	1179
306	732	1176
307	735	1174
308	737	1171
309	739	1169
310	742	1166
311	744	1164
312	746	1161
313	748	1159
314	751	1156
315	753	1154
316	756	1151
317	758	1149
318	760	1146
319	763	1144
320	765	1142
321	767	1139
322	770	1137
323	772	1134
324	774	1132
325	777	1129
326	779	1127
327	781	1124
328	783	1122
329	786	1119
330	788	1117
331	790	1114
332	793	1112
333	795	1110
334	798	1107
335	800	1105
336	802	1103
337	805	1100
338	807	1098
339	809	1095
340	812	1093
341	815	1091
342	817	1089
343	820	1087
344	822	1084
345	824	1082
346	827	1079
347	829	1077
348	832	1075
349	834	1073
350	837	1070
351	839	1068
352	842	1066
353	844	1064
354	847	1061
355	849	1059
356	851	1056
357	853	1054
358	856	1052
359	858	1049
360	861	1047
361	863	1045
362	866	1042
363	868	1040
364	870	1037
365	872	1035
366	875	1032
367	877	1030
368	879	1027
369	882	1025
370	884	1023
371	887	1020
372	889	1018
373	891	1015
374	894	1013
375	896	1011
376	899	1009
377	902	1007
378	904	1004
379	906	1002
380	909	1000
381	912	998
382	914	995
383	917	993
384	919	990
385	921	988
386	924	986
387	926	983
388	929	981
389	931	979
390	933	976
391	936	974
392	938	971
393	940	969
394	943	967
395	946	965
396	948	963
397	951	960
398	953	958
399	955	955
400	958	953
401	960	951
402	962	948
403	965	946
404	967	943
405	969	940
406	971	938
407	974	936
408	976	933
409	979	931
410	981	928
411	983	926
412	985	923
