year,month,us_state,nerc_region,climate_region,climate_category,anomaly_level,outage_duration,cause_category,demand_loss_mw,customers_affected,total_price,total_sales,total_customers,poppct_urban,popden_urban,areapct_urban,util_realgsp,total_realgsp,util_contri,population,outage_start_datetime,outage_restoration_datetime
2011.0,7.0,Minnesota,MRO,East North Central,normal,-0.3,3060.0,severe weather,,70000.0,9.28,6562520.0,2595696.0,73.27,2279.0,2.14,4802,274182,1.75139141154416,5348119.0,2011-07-01 17:00:00,2011-07-03 20:00:00
2014.0,5.0,Minnesota,MRO,East North Central,normal,-0.1,1.0,intentional attack,,,9.28,5284231.0,2640737.0,73.27,2279.0,2.14,5226,291955,1.79000188385196,5457125.0,2014-05-11 18:38:00,2014-05-11 18:39:00
2010.0,10.0,Minnesota,MRO,East North Central,cold,-1.5,3000.0,severe weather,,70000.0,8.15,5222116.0,2586905.0,73.27,2279.0,2.14,4571,267895,1.70626551447395,5310903.0,2010-10-26 20:00:00,2010-10-28 22:00:00
2012.0,6.0,Minnesota,MRO,East North Central,normal,-0.1,2550.0,severe weather,,68200.0,9.19,5787064.0,2606813.0,73.27,2279.0,2.14,5364,277627,1.93208873776686,5380443.0,2012-06-19 04:30:00,2012-06-20 23:00:00
2015.0,7.0,Minnesota,MRO,East North Central,warm,1.2,1740.0,severe weather,250.0,250000.0,10.43,5970339.0,2673531.0,73.27,2279.0,2.14,4873,292023,1.66870417741068,5489594.0,2015-07-18 02:00:00,2015-07-19 07:00:00
2010.0,11.0,Minnesota,MRO,East North Central,cold,-1.4,1860.0,severe weather,,60000.0,8.28,5374150.0,2586905.0,73.27,2279.0,2.14,4571,267895,1.70626551447395,5310903.0,2010-11-13 15:00:00,2010-11-14 22:00:00
2010.0,7.0,Minnesota,MRO,East North Central,cold,-0.9,2970.0,severe weather,,63000.0,9.12,6374935.0,2586905.0,73.27,2279.0,2.14,4571,267895,1.70626551447395,5310903.0,2010-07-17 20:30:00,2010-07-19 22:00:00
2005.0,6.0,Minnesota,MRO,East North Central,normal,0.2,3960.0,severe weather,75.0,300000.0,7.36,5607498.0,2474912.0,73.27,2279.0,2.14,3997,268496,1.48866277337465,5119598.0,2005-06-08 04:00:00,2005-06-10 22:00:00
2015.0,3.0,Minnesota,MRO,East North Central,warm,0.6,155.0,intentional attack,20.0,5941.0,9.03,5599486.0,2673531.0,73.27,2279.0,2.14,4873,292023,1.66870417741068,5489594.0,2015-03-16 07:31:00,2015-03-16 10:06:00
2013.0,6.0,Minnesota,MRO,East North Central,normal,-0.2,3621.0,severe weather,,400000.0,10.0,5490631.0,2622305.0,73.27,2279.0,2.14,5613,284542,1.97264375733635,5420541.0,2013-06-21 17:39:00,2013-06-24 06:00:00
2013.0,6.0,Minnesota,MRO,East North Central,normal,-0.2,7740.0,severe weather,,193000.0,10.0,5490631.0,2622305.0,73.27,2279.0,2.14,5613,284542,1.97264375733635,5420541.0,2013-06-21 03:00:00,2013-06-26 12:00:00
2005.0,9.0,Minnesota,MRO,East North Central,normal,0.0,8880.0,severe weather,,200000.0,7.03,5535009.0,2474912.0,73.27,2279.0,2.14,3997,268496,1.48866277337465,5119598.0,2005-09-21 19:00:00,2005-09-27 23:00:00
2011.0,7.0,Minnesota,MRO,East North Central,normal,-0.3,0.0,intentional attack,0.0,0.0,9.28,6562520.0,2595696.0,73.27,2279.0,2.14,4802,274182,1.75139141154416,5348119.0,2011-07-08 10:00:00,2011-07-08 10:00:00
2011.0,5.0,Minnesota,MRO,East North Central,normal,-0.4,1322.0,intentional attack,0.0,0.0,8.7,5262668.0,2595696.0,73.27,2279.0,2.14,4802,274182,1.75139141154416,5348119.0,2011-05-11 15:55:00,2011-05-12 13:57:00
2014.0,6.0,Minnesota,MRO,East North Central,normal,0.0,60.0,severe weather,,55951.0,10.02,5574073.0,2640737.0,73.27,2279.0,2.14,5226,291955,1.79000188385196,5457125.0,2014-06-15 00:00:00,2014-06-15 01:00:00
2015.0,6.0,Tennessee,SERC,Central,warm,1.0,19.0,system operability disruption,926.0,,9.59,8258806.0,3260708.0,66.39,1450.3,7.05,1692,282752,0.598404255319149,6600299.0,2015-06-07 13:54:00,2015-06-07 14:13:00
2012.0,8.0,Tennessee,SERC,Central,normal,0.3,0.0,intentional attack,,,9.47,9791474.0,3189570.0,66.39,1450.3,7.05,1819,267689,0.679519890619338,6455469.0,2012-08-13 13:15:00,2012-08-13 13:15:00
2015.0,6.0,Tennessee,SERC,Central,warm,1.0,21.0,system operability disruption,,,9.59,8258806.0,3260708.0,66.39,1450.3,7.05,1692,282752,0.598404255319149,6600299.0,2015-06-07 13:52:00,2015-06-07 14:13:00
2011.0,4.0,Tennessee,SERC,Central,cold,-0.5,196.0,severe weather,100.0,64000.0,8.91,7278927.0,3174123.0,66.39,1450.3,7.05,1798,258910,0.694449808813874,6398408.0,2011-04-19 22:44:00,2011-04-20 02:00:00
2008.0,2.0,Tennessee,SERC,Central,cold,-1.3,840.0,severe weather,,57000.0,7.23,9144470.0,3147939.0,66.39,1450.3,7.05,1764,257402,0.68530936045563,6247411.0,2008-02-06 09:00:00,2008-02-06 23:00:00
2015.0,1.0,Tennessee,SERC,Central,warm,0.6,935.0,severe weather,,,9.18,8926587.0,3260708.0,66.39,1450.3,7.05,1692,282752,0.598404255319149,6600299.0,2015-01-07 17:00:00,2015-01-08 08:35:00
2012.0,7.0,Tennessee,SERC,Central,normal,0.1,1260.0,severe weather,,50001.0,9.67,9877219.0,3189570.0,66.39,1450.3,7.05,1819,267689,0.679519890619338,6455469.0,2012-07-05 19:00:00,2012-07-06 16:00:00
2013.0,4.0,Tennessee,SERC,Central,normal,-0.2,619.0,intentional attack,,,8.78,7583977.0,3209121.0,66.39,1450.3,7.05,1827,270562,0.675261123143679,6496130.0,2013-04-21 02:11:00,2013-04-21 12:30:00
2014.0,1.0,Tennessee,SERC,Central,cold,-0.5,150.0,severe weather,,,9.13,9549176.0,3229998.0,66.39,1450.3,7.05,1739,274775,0.632881448457829,6547779.0,2014-01-07 06:00:00,2014-01-07 08:30:00
2009.0,7.0,Tennessee,SERC,Central,warm,0.5,762.0,equipment failure,,,8.59,8950358.0,3153916.0,66.39,1450.3,7.05,1598,247321,0.64612386331933,6306019.0,2009-07-27 05:05:00,2009-07-27 17:47:00
2011.0,6.0,Tennessee,SERC,Central,normal,-0.3,0.0,severe weather,,106300.0,9.47,8664304.0,3174123.0,66.39,1450.3,7.05,1798,258910,0.694449808813874,6398408.0,2011-06-22 09:46:00,2011-06-22 09:46:00
2011.0,4.0,Tennessee,SERC,Central,cold,-0.5,660.0,severe weather,300.0,63000.0,8.91,7278927.0,3174123.0,66.39,1450.3,7.05,1798,258910,0.694449808813874,6398408.0,2011-04-04 13:00:00,2011-04-05 00:00:00
2014.0,6.0,Tennessee,SERC,Central,normal,0.0,1.0,severe weather,,56475.0,9.93,8404698.0,3229998.0,66.39,1450.3,7.05,1739,274775,0.632881448457829,6547779.0,2014-06-05 13:06:00,2014-06-05 13:07:00
2012.0,6.0,Tennessee,SERC,Central,normal,-0.1,2700.0,public appeal,,,9.55,8395017.0,3189570.0,66.39,1450.3,7.05,1819,267689,0.679519890619338,6455469.0,2012-06-30 15:00:00,2012-07-02 12:00:00
2014.0,6.0,Tennessee,SERC,Central,normal,0.0,1.0,intentional attack,,,9.93,8404698.0,3229998.0,66.39,1450.3,7.05,1739,274775,0.632881448457829,6547779.0,2014-06-19 08:47:00,2014-06-19 08:48:00
2011.0,4.0,Tennessee,SERC,Central,cold,-0.5,4921.0,severe weather,300.0,73000.0,8.91,7278927.0,3174123.0,66.39,1450.3,7.05,1798,258910,0.694449808813874,6398408.0,2011-04-04 14:00:00,2011-04-08 00:01:00
2015.0,5.0,Tennessee,SERC,Central,warm,0.8,95.0,intentional attack,1.0,215.0,9.02,7063873.0,3260708.0,66.39,1450.3,7.05,1692,282752,0.598404255319149,6600299.0,2015-05-02 22:51:00,2015-05-03 00:26:00
2015.0,2.0,Tennessee,SERC,Central,warm,0.5,251.0,severe weather,,50000.0,9.2,8848352.0,3260708.0,66.39,1450.3,7.05,1692,282752,0.598404255319149,6600299.0,2015-02-21 08:34:00,2015-02-21 12:45:00
2014.0,6.0,Tennessee,SERC,Central,normal,0.0,4125.0,severe weather,494.0,38500.0,9.93,8404698.0,3229998.0,66.39,1450.3,7.05,1739,274775,0.632881448457829,6547779.0,2014-06-05 03:00:00,2014-06-07 23:45:00
2011.0,4.0,Tennessee,SERC,Central,cold,-0.5,2550.0,severe weather,300.0,105000.0,8.91,7278927.0,3174123.0,66.39,1450.3,7.05,1798,258910,0.694449808813874,6398408.0,2011-04-19 23:02:00,2011-04-21 17:32:00
2014.0,1.0,Tennessee,SERC,Central,cold,-0.5,1200.0,severe weather,,,9.13,9549176.0,3229998.0,66.39,1450.3,7.05,1739,274775,0.632881448457829,6547779.0,2014-01-23 16:00:00,2014-01-24 12:00:00
2015.0,3.0,Tennessee,SERC,Central,warm,0.6,310.0,intentional attack,,,9.03,8631202.0,3260708.0,66.39,1450.3,7.05,1692,282752,0.598404255319149,6600299.0,2015-03-04 09:05:00,2015-03-04 14:15:00
